Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
6,1,1,5,"1, 2, 3, 4, 6, 7, 8,12,14,15,16,17,19,20","5, 9,10,11,13,18",2100,900,147.018,42.46,1952.982,857.54,3000,2810.522,1405.261,14,6,"0,97,150,217,289,306,366,390,413,461,535.8,562.6,623.7,656.09,735.09","0,12,79.1,138.7,176.9,200.3,212.3"
6,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
6,3,1,15,"1, 4, 5, 9,11,13,16,17,18","15, 2, 3, 6, 7, 8,10,12,14,19,20",1350,1650,56.76,101.058,1293.24,1548.942,3000,2842.182,1421.091,9,11,"0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8","0,75,128,166,183,243,315.5,380.5,403.5,455.9,488.29,505.29"
6,4,1,20,"1, 4, 5, 6, 7, 8, 9,11,13,16,17,18","20, 2, 3,10,12,14,15,19",1800,1200,92.16,71.958,1707.84,1128.042,3000,2835.882,1417.941,12,8,"0,21,63,97,114,174,252,272.5,310.7,359.9,386.7,412.8,460.8","0,58,111,142.2,207.2,230.2,278.2,327.4,359.79"
6,5,5,1,"5, 9,10,11,13,16,17,18","1, 2, 3, 4, 6, 7, 8,12,14,15,19,20",1200,1800,58.2,124.318,1141.8,1675.682,3000,2817.482,1408.741,8,12,"0,12,79.1,138.7,176.9,226.1,252.9,279,291","0,97,150,217,289,306,366,390,413,461,510.2,542.59,621.59"
6,6,5,10,"5, 6, 7, 9,11,13,16,17,18","10, 1, 2, 3, 4, 8,12,14,15,19,20",1350,1650,53.16,111.758,1296.84,1538.242,3000,2835.082,1417.541,9,11,"0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8","0,85,182,235,302,356,380,403,451,500.2,532.59,558.79"
6,7,5,15,"5, 6, 7,10,12,16,17,18","15, 1, 2, 3, 4, 8, 9,11,13,14,19,20",1200,1800,46.06,131.498,1153.94,1668.502,3000,2822.442,1411.221,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,79,176,229,296,350,428,448.5,486.7,555.7,608.1,640.49,657.49"
6,8,5,20,"5, 9,10,11,13,16,17,18","20, 1, 2, 3, 4, 6, 7, 8,12,14,15,19",1200,1800,58.2,124.318,1141.8,1675.682,3000,2817.482,1408.741,8,12,"0,12,79.1,138.7,176.9,226.1,252.9,279,291","0,79,176,229,296,368,385,445,469,492,540,589.2,621.59"
6,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
6,10,10,5,"10, 1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,11,13,16,17,18",1650,1350,111.758,53.16,1538.242,1296.84,3000,2835.082,1417.541,11,9,"0,85,182,235,302,356,380,403,451,500.2,532.59,558.79","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8"
6,11,10,15,"10,12,16,17,18,19","15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,20",900,2100,47.46,142.658,852.54,1957.342,3000,2809.882,1404.941,6,14,"0,65,87.4,114.2,140.3,227.3,237.3","0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,696.29,713.29"
6,12,10,20,"10,11,13,16,17,18,19","20, 1, 2, 3, 4, 5, 6, 7, 8, 9,12,14,15",1050,1950,59.38,134.006,990.62,1815.994,3000,2806.614,1403.307,7,13,"0,59.6,97.8,147,173.8,199.9,286.9,296.9","0,79,176,229,296,338,372,389,449,527,582,605,653,670.03"
6,13,15,1,"15, 2, 3, 6, 7, 8,12,14,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,78.358,78,1421.642,1422,3000,2843.642,1421.821,10,10,"0,75,128,166,183,243,267,290,342.4,374.79,391.79","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
6,14,15,5,"15, 1, 2, 3, 4, 8, 9,11,13,14,19,20","5, 6, 7,10,12,16,17,18",1800,1200,131.498,46.06,1668.502,1153.94,3000,2822.442,1411.221,12,8,"0,79,176,229,296,350,428,448.5,486.7,555.7,608.1,640.49,657.49","0,34,51,78,143,165.4,192.2,218.3,230.3"
6,15,15,10,"15, 1, 2, 3, 4, 5, 6, 7, 8, 9,12,14,20","10,11,13,16,17,18,19",1950,1050,132.718,59.38,1817.282,990.62,3000,2807.902,1403.951,13,7,"0,79,176,229,296,338,372,389,449,527,582,605,646.59,663.59","0,59.6,97.8,147,173.8,199.9,286.9,296.9"
6,16,15,20,"15, 1, 4, 5, 6, 7, 9,11,12,13,14,16,17,18","20, 2, 3, 8,10,19",2100,900,128.3,53.578,1971.7,846.422,3000,2818.122,1409.061,14,6,"0,79,100,142,176,193,235,255.5,323.5,395.1,464.1,491.6,518.4,544.5,641.5","0,58,111,153,225.5,235.5,267.89"
6,17,20,1,"20, 2, 3, 8, 9,11,13,14,15,19","1, 4, 5, 6, 7,10,12,16,17,18",1500,1500,97.658,65.86,1402.342,1434.14,3000,2836.482,1418.241,10,10,"0,58,111,153,231,251.5,289.7,358.7,406.7,455.9,488.29","0,21,63,97,114,141,206,228.4,255.2,281.3,329.3"
6,18,20,5,"20, 1, 2, 3, 4, 8, 9,11,13,14,15,19","5, 6, 7,10,12,16,17,18",1800,1200,137.058,46.06,1662.942,1153.94,3000,2816.882,1408.441,12,8,"0,79,176,229,296,350,428,448.5,486.7,555.7,603.7,652.9,685.29","0,34,51,78,143,165.4,192.2,218.3,230.3"
6,19,20,10,"20, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,15","10,12,16,17,18,19",2100,900,143.946,47.46,1956.054,852.54,3000,2808.594,1404.297,14,6,"0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,702.7,719.73","0,65,87.4,114.2,140.3,227.3,237.3"
6,20,20,15,"20, 2, 3, 6, 7, 8,12,16,17,18,19","15, 1, 4, 5, 9,10,11,13,14",1650,1350,88.938,87.18,1561.062,1262.82,3000,2823.882,1411.941,11,9,"0,58,111,149,166,226,250,272.4,299.2,325.3,412.3,444.69","0,79,100,142,154,221.1,280.7,318.9,387.9,435.9"
